line,status,identifier,aircon,display_eligible,reason
903,success,330304,0,0,
904,success,332226,0,0,
905,success,340064,0,0,
906,success,80987,0,0,
907,success,322890,0,0,
908,success,229538,0,0,
909,success,174755,0,0,
910,success,329080,0,0,
911,success,342932,0,0,
912,success,330442,0,0,
913,success,284306,0,0,
914,success,367512,0,0,
915,success,340623,0,0,
916,success,342936,0,0,
917,success,229091,0,0,
918,success,330302,0,0,
919,success,196716,0,0,
920,success,332225,0,0,
921,success,313016,0,0,
922,success,365205,0,0,
923,success,332229,0,0,
924,success,64880,0,0,
925,success,330301,0,0,
926,success,203162,0,0,
927,success,277550,0,0,
928,success,322889,0,0,
929,success,332227,0,0,
930,success,357910,0,0,
931,success,313015,0,0,
932,success,286233,0,0,
933,success,291756,0,0,
934,success,255995,0,0,
935,success,221943,0,0,
936,success,174829,0,0,
937,success,174759,0,0,
938,success,326053,0,0,
939,success,303004,0,0,
940,success,292271,0,0,
941,success,358396,0,0,
942,success,341687,0,0,
943,success,360145,0,0,
944,success,335996,0,0,
945,success,366943,0,0,
946,success,367514,0,0,
947,success,326054,0,0,
948,success,204059,0,0,
949,success,367513,0,0,
950,success,322888,0,0,
951,success,342937,0,0,
952,success,340061,0,0,
953,success,367511,0,0,
954,success,366941,0,0,
955,success,92139,0,0,
956,success,332228,0,0,
957,success,309054,0,0,
958,success,292912,0,0,
959,success,360898,0,0,
960,success,365676,0,0,
961,success,368134,0,0,
962,success,364656,0,0,
963,success,359929,0,0,
964,success,360900,0,0,
965,success,369554,0,0,
966,success,367232,0,0,
967,success,366667,0,0,
968,success,365671,0,0,
969,success,359713,0,0,
970,success,359933,0,0,
971,success,359931,0,0,
972,success,368540,0,0,
973,success,360899,0,0,
974,success,365654,0,0,
975,success,360901,0,0,
976,success,367428,0,0,
977,success,364655,0,0,
978,success,367253,0,0,
979,success,365672,0,0,
980,success,368012,0,0,
981,success,366665,0,0,
982,success,367231,0,0,
983,success,359712,0,0,
984,success,359930,0,0,
985,success,359932,0,0,
986,success,359711,0,0,
987,success,361699,0,0,
988,success,359644,0,0,
989,success,332568,0,0,
990,success,335201,0,0,
991,success,66642,0,0,
992,success,278363,0,0,
993,success,337360,0,0,
994,success,225091,0,0,
995,success,340256,0,0,
996,success,358577,0,0,
997,success,204041,0,0,
998,success,97328,0,0,
999,success,235136,0,0,
1000,success,332570,0,0,
1001,success,337517,0,0,
1002,success,214715,0,0,
1003,success,225092,0,0,
1004,success,337516,0,0,
1005,success,217827,0,0,
1006,success,269397,0,0,
1007,success,114644,0,0,
1008,success,269396,0,0,
1009,success,273045,0,0,
1010,success,358581,0,0,
1011,success,202252,0,0,
1012,success,225103,0,0,
1013,success,218772,0,0,
1014,success,340444,0,0,
1015,success,340437,0,0,
1016,success,238663,0,0,
1017,success,67544,0,0,
1018,success,358582,0,0,
1019,success,237897,0,0,
1020,success,229636,0,0,
1021,success,203896,0,0,
1022,success,67697,0,0,
1023,success,341375,0,0,
1024,success,332623,0,0,
1025,success,325301,0,0,
1026,success,338013,0,0,
1027,success,359576,0,0,
1028,success,235885,0,0,
1029,success,324391,0,0,
1030,success,278365,0,0,
1031,success,340257,0,0,
1032,success,235133,0,0,
1033,success,332566,0,0,
1034,success,225081,0,0,
1035,success,274453,0,0,
1036,success,174827,0,0,
1037,success,357906,0,0,
1038,success,78765,0,0,
1039,success,326126,0,0,
1040,success,202073,0,0,
1041,success,278364,0,0,
1042,success,108418,0,0,
1043,success,332567,0,0,
1044,success,280240,0,0,
1045,success,291421,0,0,
1046,success,280241,0,0,
1047,success,341376,0,0,
1048,success,174828,0,0,
1049,success,235887,0,0,
1050,success,232057,0,0,
1051,success,305624,0,0,
1052,success,343101,0,0,
1053,success,339274,0,0,
1054,success,126627,0,0,
1055,success,268878,0,0,
1056,success,356542,0,0,
1057,success,338018,0,0,
1058,success,225102,0,0,
1059,success,358575,0,0,
1060,success,74322,0,0,
1061,success,235132,0,0,
1062,success,332569,0,0,
1063,success,229656,0,0,
1064,success,214714,0,0,
1065,success,335203,0,0,
1066,success,327816,0,0,
1067,success,338019,0,0,
1068,success,309398,0,0,
1069,success,241898,0,0,
1070,success,229633,0,0,
1071,success,278366,0,0,
1072,success,342420,0,0,
1073,success,73487,0,0,
1074,success,367313,0,0,
1075,success,73366,0,0,
1076,success,88889,0,0,
1077,success,252136,0,0,
1078,success,337648,0,0,
1079,success,232448,0,0,
1080,success,368530,0,0,
1081,success,67906,0,0,
1082,success,236321,0,0,
1083,success,203895,0,0,
1084,success,362074,0,0,
1085,success,339726,0,0,
1086,success,252267,0,0,
1087,success,361474,0,0,
1088,success,316937,0,0,
1089,success,64314,0,0,
1090,success,80705,0,0,
1091,success,340264,0,0,
1092,success,224536,0,0,
1093,success,342419,0,0,
1094,success,284887,0,0,
